t,Date,Day Code,Day of Week,Bread San,,,,,,,,,,,,Juices,Coffees,Total Soda and Coffee
1,2010-01-19,2,Tue,5,,,,,,,,,,,,8,41,
2,2010-01-20,3,Wed,6,,,,,,,,,,,,0,33,
3,2010-01-21,4,Thu,8,,,,,,,,,,,,13,34,
4,2010-01-22,5,Fri,4,,,,,,,,,,,,0,27,
5,2010-01-25,1,Mon,3,,,,,,,,,,,,5,20,
6,2010-01-26,2,Tue,7,,,,,,,,,,,,4,23,
7,2010-01-27,3,Wed,6,,,,,,,,,,,,5,32,
8,2010-01-28,4,Thu,0,,,,,,,,,,,,6,31,
9,2010-01-29,5,Fri,3,,,,,,,,,,,,4,30,
10,2010-02-01,1,Mon,2,,,,,,,,,,,,7,27,
11,2010-02-02,2,Tue,3,,,,,,,,,,,,0,30,
12,2010-02-03,3,Wed,4,,,,,,,,,,,,6,27,
13,2010-02-04,4,Thu,9,,,,,,,,,,,,6,26,
14,2010-02-05,5,Fri,1,,,,,,,,,,,,1,24,
15,2010-02-08,1,Mon,3,,,,,,,,,,,,2,18,
16,2010-02-09,2,Tue,8,,,,,,,,,,,,8,22,
17,2010-02-10,3,Wed,7,,,,,,,,,,,,3,21,
18,2010-02-11,4,Thu,8,,,,,,,,,,,,2,28,
19,2010-02-12,5,Fri,2,,,,,,,,,,,,2,23,
20,2010-02-15,1,Mon,3,,,,,,,,,,,,7,31,
21,2010-02-16,2,Tue,8,,,,,,,,,,,,5,29,
22,2010-02-17,3,Wed,6,,,,,,,,,,,,2,48,
23,2010-02-18,4,Thu,,,,,,,,,,,,,0,25,
24,2010-02-19,5,Fri,,,,,,,,,,,,,0,31,
,,,,,,,,,,,,,,,,0,25,
,,,,,,,,,,,,,,,,0,35,
,,,,,,,,,,,,,,,,0,33,
,,,,,,,,,,,,,,,,0,35,
,,,,,,,,,,,,,,,,0,16,
,,,,,,,,,,,,,,,,0,24,
,,,,,,,,,,,,,,,,0,20,
,,,,,,,,,,,,,,,,0,11,
,,,,,,,,,,,,,,,,0,21,
,,,,,,,,,,,,,,,,0,8,
,,,,,,,,,,,,,,,,0,8,
,,,,,,,,,,,,,,,,0,4,
,,,,,,,,,,,,,,,,0,4,
,,,,,,,,,,,,,,,,0,3,
,,,,,,,,,,,,,,,,0,5,
,,,,,,,,,,,,,,,,0,6,
,,,,,,,,,,,,,,,,0,4,
,,,,,,,,,,,,,,,,0,13,
,,,,,,,,,,,,,,,,0,4,
,,,,,,,,,,,,,,,,0,16,
,,,,,,,,,,,,,,,,0,14,
,,,,,,,,,,,,,,,,0,10,
,,,,,,,,,,,,,,,,0,11,
